ID,age,workclass,education,marital_status,occupation,relationship,race,sex,native_country,amount
1,39, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
2,50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
3,38, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
4,53, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, United-States, <=50K
5,28, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Female, Cuba, <=50K
6,37, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, <=50K
7,49, Private, 9th, Married-spouse-absent, Other-service, Not-in-family, Black, Female, Jamaica, <=50K
8,52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
9,31, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, >50K
10,42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
11,37, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male, United-States, >50K
12,30, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, India, >50K
13,23, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
14,32, Private, Assoc-acdm, Never-married, Sales, Not-in-family, Black, Male, United-States, <=50K
15,34, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male, Mexico, <=50K
16,25, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male, United-States, <=50K
17,32, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male, United-States, <=50K
18,38, Private, 11th, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
19,43, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Unmarried, White, Female, United-States, >50K
20,40, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
21,54, Private, HS-grad, Separated, Other-service, Unmarried, Black, Female, United-States, <=50K
22,35, Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Husband, Black, Male, United-States, <=50K
23,43, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
24,59, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female, United-States, <=50K
25,56, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
26,19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
27,39, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
28,49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
29,23, Local-gov, Assoc-acdm, Never-married, Protective-serv, Not-in-family, White, Male, United-States, <=50K
30,20, Private, Some-college, Never-married, Sales, Own-child, Black, Male, United-States, <=50K
31,45, Private, Bachelors, Divorced, Exec-managerial, Own-child, White, Male, United-States, <=50K
32,30, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White, Male, United-States, <=50K
33,22, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, Black, Male, United-States, <=50K
34,48, Private, 11th, Never-married, Machine-op-inspct, Unmarried, White, Male, Puerto-Rico, <=50K
35,21, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male, United-States, <=50K
36,19, Private, HS-grad, Married-AF-spouse, Adm-clerical, Wife, White, Female, United-States, <=50K
37,48, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
38,31, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
39,53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
40,24, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
41,49, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female, United-States, <=50K
